"id","active","name","keyword","slug","description","ParentId","icon","picture","otc_id","ProviderType","IconImageUrl","ApproxWeight","is_top","user_id","created_at","updated_at","deleted_at"
"517","2021-10-04 10:50:05","Covers for golf-clubs","Covers for golf-clubs","covers-for-golf-clubs",NULL,"otc-1292",NULL,NULL,"otc-1302","Taobao",NULL,"0.5",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"518","2021-10-04 10:50:05","Training tracks","Training tracks","training-tracks",NULL,"otc-1292",NULL,NULL,"otc-1303","Taobao",NULL,"0.3",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"519","2021-10-04 10:50:05","Golf-swings","Golf-swings","golf-swings",NULL,"otc-1292",NULL,NULL,"otc-1304","Taobao",NULL,"1.5",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"520","2021-10-04 10:50:05","Grid targets","Grid targets","grid-targets",NULL,"otc-1292",NULL,NULL,"otc-1305","Taobao",NULL,"0.6",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"521","2021-10-04 10:50:05","Accessories","Accessories","accessories",NULL,"otc-1292",NULL,NULL,"otc-1306",,NULL,NULL,NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"522","2021-10-04 10:50:05","Baseball","Baseball","baseball",NULL,"otc-1174",NULL,NULL,"otc-1316",,"https://data.otcommerce.com/public/catalog/picture/sportivnye-tovary/bejsbol.png",NULL,NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"523","2021-10-04 10:50:05","Balls for baseball","Balls for baseball","balls-for-baseball",NULL,"otc-1316",NULL,NULL,"otc-1317","Taobao",NULL,"0.2",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"524","2021-10-04 10:50:05","Baseball bats","Baseball bats","baseball-bats",NULL,"otc-1316",NULL,NULL,"otc-1318","Taobao",NULL,"0.6",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"525","2021-10-04 10:50:05","Baseball traps","Baseball traps","baseball-traps",NULL,"otc-1316",NULL,NULL,"otc-1319","Taobao",NULL,"0.3",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"526","2021-10-04 10:50:05","Baseball caps","Baseball caps","baseball-caps",NULL,"otc-1316",NULL,NULL,"otc-1320","Taobao",NULL,"0.18",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"527","2021-10-04 10:50:05","Clothing for baseball","Clothing for baseball","clothing-for-baseball",NULL,"otc-1316",NULL,NULL,"otc-1321","Taobao",NULL,"0.5",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"528","2021-10-04 10:50:05","Footwear for baseball","Footwear for baseball","footwear-for-baseball",NULL,"otc-1316",NULL,NULL,"otc-1322","Taobao",NULL,"0.7",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"529","2021-10-04 10:50:05","Souvenirs","Souvenirs","souvenirs",NULL,"otc-1316",NULL,NULL,"otc-1323","Taobao",NULL,"0.8",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"530","2021-10-04 10:50:05","Other","Other","other",NULL,"otc-1316",NULL,NULL,"otc-1324","Taobao",NULL,"0.35",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"531","2021-10-04 10:50:05","Squash","Squash","squash",NULL,"otc-1174",NULL,NULL,"otc-1325",,"https://data.otcommerce.com/public/catalog/picture/sportivnye-tovary/skvosh.png",NULL,NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"532","2021-10-04 10:50:05","Balls for Squash","Balls for Squash","balls-for-squash",NULL,"otc-1325",NULL,NULL,"otc-1326","Taobao",NULL,"0.05",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
